date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:04:57	62806/62806	---M-Z	200	added ('OK')	text/html	etag:%2215a00430-f556-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-badges.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-badges.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:57	85982/85982	---M-Z	200	added ('OK')	text/html	etag:%2215a00435-14fde-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-dropdowns.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-dropdowns.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:57	87064/87064	---M-Z	200	added ('OK')	text/html	etag:%2215a00437-15418-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-media-objects.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-media-objects.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:57	64824/64824	---M-Z	200	added ('OK')	text/html	etag:%2215a00439-fd38-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-pagination.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-pagination.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:57	62195/62195	---M-Z	200	added ('OK')	text/html	etag:%2215a0043b-f2f3-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-progress.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-progress.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:58	113747/113747	---M-Z	200	added ('OK')	text/html	etag:%2215a00438-1bc53-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-modals.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-modals.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:58	68104/68104	---M-Z	200	added ('OK')	text/html	etag:%2215a00433-10a08-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-collapse.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-collapse.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:58	69275/69275	---M-Z	200	added ('OK')	text/html	etag:%2215a0042e-10e9b-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-accordion.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-accordion.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:58	62870/62870	---M-Z	200	added ('OK')	text/html	etag:%2215a00432-f596-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-carousel.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-carousel.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
00:04:59	71385/71385	---M-Z	200	added ('OK')	text/html	etag:%2215a00434-116d9-565bbf566d480%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-datepicker.html	C:/Users/GHR/Desktop/vishh/temp9/temp9/pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/components-datepicker.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/html-demo-5/)
